ScenarioKey,TotalVolume,SigmaCompany,ScrDiversified,ScrUndiversified,DiversificationBenefit,DiversificationBenefitPct
1,758040000.0,0.05986731456342063,136145457.39496613,189399612.23115695,53254154.83619082,0.28117351566272275
2,693200694.5,0.05981777250695597,124397164.33579466,172919795.0032318,48522630.667437136,0.28060772722134136
3,758040000.0,0.055851228489348925,127012395.73219818,178143054.69671005,51130658.96451187,0.2870202212012263
4,693200694.5,0.0557833383424256,116007146.64149371,162623482.48127687,46616335.83978316,0.28665193444710657
