lob_code,lob_name,scr_standalone,scr_allocated,diversification_credit,credit_pct,share_of_total
MTPL,Motor vehicle liability,68617095.8569364,58779551.291306995,9837544.5656294,0.14336871070935797,0.4317408190916278
MOTOR_OTHER,Other motor,25120205.094704144,15377866.616471767,9742338.478232376,0.3878287793233926,0.11295174228148983
FIRE,Fire and other damage to property,41384188.71984807,23827645.02820647,17556543.691641595,0.4242331246479501,0.1750160856199634
GL,General liability,46134729.90058575,34273020.60680755,11861709.293778196,0.25711019267563967,0.2517382604061439
LEGAL,Legal expenses,8143392.659082578,3887373.85217333,4256018.806909248,0.522634605143641,0.02855309260077496
